bin,position,mean,sem,genotype,region,group,n_regions
52,582.2784810126582,9.979143897317009,0.913931616434198,FANCJKO,5UTR,antiparallel,343
53,632.9113924050635,9.480866864494494,0.9220108910212415,FANCJKO,5UTR,antiparallel,343
54,683.5443037974683,9.03566036056615,0.925393899012026,FANCJKO,5UTR,antiparallel,343
55,734.1772151898736,8.760228921067263,0.9027913403134146,FANCJKO,5UTR,antiparallel,343
56,784.8101265822784,8.549551354937465,0.9133631895569568,FANCJKO,5UTR,antiparallel,343
57,835.4430379746836,8.446189441428356,0.9604483521393483,FANCJKO,5UTR,antiparallel,343
58,886.0759493670885,8.09420812503242,0.9767162652282421,FANCJKO,5UTR,antiparallel,343
59,936.7088607594937,7.790540646640158,0.9842315577248748,FANCJKO,5UTR,antiparallel,343
60,987.3417721518986,7.368201889535313,0.9105819857824253,FANCJKO,5UTR,antiparallel,343
61,1037.9746835443038,6.967794902132366,0.8191016197489848,FANCJKO,5UTR,antiparallel,343
62,1088.6075949367087,6.550818734104131,0.6752752388831127,FANCJKO,5UTR,antiparallel,343
63,1139.240506329114,6.1719643545266605,0.5646060761016434,FANCJKO,5UTR,antiparallel,343
64,1189.8734177215188,5.990938917443634,0.5305902588177578,FANCJKO,5UTR,antiparallel,343
65,1240.506329113924,5.9082224497827545,0.5481908617703025,FANCJKO,5UTR,antiparallel,343
66,1291.1392405063293,5.99967329634406,0.5768171508053245,FANCJKO,5UTR,antiparallel,343
67,1341.7721518987341,6.001167664025106,0.5740554533597151,FANCJKO,5UTR,antiparallel,343
68,1392.4050632911394,5.860198727059527,0.569304111947065,FANCJKO,5UTR,antiparallel,343
69,1443.0379746835442,5.710708374029462,0.5612618413512497,FANCJKO,5UTR,antiparallel,343
70,1493.6708860759495,5.518733118671718,0.6028106059622652,FANCJKO,5UTR,antiparallel,343
71,1544.3037974683543,5.569566599152642,0.6882182355000961,FANCJKO,5UTR,antiparallel,343
72,1594.9367088607596,5.5318247350335,0.7577619894259061,FANCJKO,5UTR,antiparallel,343
73,1645.5696202531644,5.523802351536857,0.8022802441354908,FANCJKO,5UTR,antiparallel,343
74,1696.2025316455697,5.493929157604629,0.7819088477665588,FANCJKO,5UTR,antiparallel,343
