genotype,stratify_by,signal,quartile,position,mean,sem,n
WT,G4_quartile,S9.6 (R-loop),Q2,424.242424242424,0.6771685334890862,0.027018923869320526,6117
WT,G4_quartile,S9.6 (R-loop),Q2,464.64646464646466,0.6657575418699947,0.026173808023329144,6117
WT,G4_quartile,S9.6 (R-loop),Q2,505.05050505050485,0.6383921146600557,0.024800917925303406,6117
WT,G4_quartile,S9.6 (R-loop),Q2,545.4545454545455,0.6144623345248825,0.02406905018003823,6117
WT,G4_quartile,S9.6 (R-loop),Q2,585.8585858585857,0.5926618313183525,0.02367536269064838,6117
WT,G4_quartile,S9.6 (R-loop),Q2,626.2626262626259,0.5940456181860032,0.024478752151588686,6117
WT,G4_quartile,S9.6 (R-loop),Q2,666.6666666666665,0.6195491543214761,0.02575866621633432,6117
WT,G4_quartile,S9.6 (R-loop),Q2,707.0707070707067,0.6361060286550657,0.0267950817557174,6117
WT,G4_quartile,S9.6 (R-loop),Q2,747.4747474747473,0.6478900827545803,0.026792938107373352,6117
WT,G4_quartile,S9.6 (R-loop),Q2,787.8787878787875,0.6662104957274122,0.027023225623264445,6117
WT,G4_quartile,S9.6 (R-loop),Q2,828.2828282828282,0.6676163173686155,0.027153824253575532,6117
WT,G4_quartile,S9.6 (R-loop),Q2,868.6868686868684,0.6495155963354268,0.02649378191495538,6117
WT,G4_quartile,S9.6 (R-loop),Q2,909.090909090909,0.6400288351714511,0.02642911667362578,6117
WT,G4_quartile,S9.6 (R-loop),Q2,949.4949494949492,0.6334091458603709,0.025867403371319583,6117
WT,G4_quartile,S9.6 (R-loop),Q2,989.8989898989898,0.6477084860394768,0.02606033377254698,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1030.30303030303,0.6605008528837373,0.026633662934536454,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1070.7070707070707,0.6510747422572052,0.02632374529813674,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1111.1111111111109,0.6533838524081472,0.02663798386665394,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1151.5151515151515,0.6471571140501636,0.026820455552733588,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1191.9191919191917,0.6508256805416806,0.026803978480548992,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1232.3232323232323,0.6446793700452219,0.02678115849952377,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1272.7272727272725,0.6403375769501648,0.02651427479849447,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1313.1313131313127,0.6357716783565074,0.02586007070807739,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1353.5353535353534,0.6212508375119679,0.025022252989772963,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1393.9393939393935,0.6082473147788939,0.024964488980588954,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1434.3434343434342,0.6235278181968328,0.02521124712694512,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1474.7474747474744,0.6459528872951692,0.02543036916014054,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1515.151515151515,0.6359083419362195,0.025445755425324852,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1555.5555555555552,0.635172691924783,0.025612750969812966,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1595.9595959595958,0.6216691651580242,0.025275939089956925,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1636.363636363636,0.6409197742547624,0.025741823569515744,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1676.7676767676767,0.6548081551148324,0.025912145013873608,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1717.1717171717169,0.6513387708113952,0.025458102058651937,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1757.5757575757575,0.6587033025087607,0.025717733374688283,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1797.9797979797977,0.6659127513779716,0.025940684820469198,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1838.3838383838383,0.6646332614776103,0.026068308624745542,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1878.7878787878785,0.66874477533724,0.02646835346192255,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1919.1919191919187,0.6745727459783345,0.02704009218837612,6117
WT,G4_quartile,S9.6 (R-loop),Q2,1959.5959595959594,0.689988402631143,0.027421993864623774,6117
WT,G4_quartile,S9.6 (R-loop),Q2,2000,0.6913600717662903,0.027233603348397906,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-2000,0.8058274041230352,0.033838912788917645,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1959.5959595959596,0.8081718507209882,0.03239559240930542,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1919.1919191919192,0.8101876165440629,0.031170607437204154,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1878.7878787878788,0.8040852762676802,0.030173335159167376,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1838.3838383838383,0.8012807079290291,0.02953216436209567,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1797.979797979798,0.7745071413800485,0.028988262989646102,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1757.5757575757575,0.7616885548156987,0.029204340535749752,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1717.1717171717173,0.7749159671179195,0.030016411050200108,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1676.7676767676767,0.7797207585661028,0.03028151538516799,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1636.3636363636365,0.7720123346255151,0.02948717657793747,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1595.9595959595958,0.7811352901889361,0.029419467703552464,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1555.5555555555557,0.7935709993061948,0.029830430373183857,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1515.1515151515152,0.7749977454930732,0.02961738869508547,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1474.7474747474748,0.7650209104152229,0.029506263322899844,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1434.3434343434344,0.7616674879736394,0.029289400891268507,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1393.939393939394,0.7465277360472875,0.028266956868863574,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1353.5353535353536,0.7336949001449139,0.02846098351293184,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1313.1313131313132,0.7274775933551154,0.02879967094441962,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1272.7272727272727,0.7110113154947334,0.0285476962153961,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1232.3232323232323,0.6956448209098041,0.028737915787046868,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1191.919191919192,0.7109226809815413,0.028730773523899664,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1151.5151515151515,0.7187021732519897,0.028207746075457972,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1111.1111111111113,0.723646964161552,0.028664047641515433,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1070.7070707070707,0.7431466671963681,0.029357978813146973,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-1030.3030303030305,0.7492433759158931,0.02997434609396111,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-989.89898989899,0.7559467177342286,0.029657451211855923,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-949.4949494949497,0.7338761222176606,0.028612446349295686,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-909.0909090909092,0.7273784524983851,0.02802549665304864,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-868.6868686868688,0.7304417136683862,0.028034405732010922,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-828.2828282828284,0.722629950901728,0.027407261913616154,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-787.878787878788,0.7108634433781768,0.02699157383376381,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-747.4747474747476,0.7170472331142488,0.02745849746439205,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-707.0707070707072,0.7175403353794979,0.028517952668060006,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-666.6666666666667,0.6976030094646165,0.030304691689636187,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-626.2626262626263,0.6837034781103078,0.029260663200901153,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-585.8585858585859,0.6711146048444036,0.02765177959064253,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-545.4545454545455,0.6823255516569573,0.02716688339578845,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-505.0505050505051,0.6892917776370432,0.026727288030184145,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-464.64646464646466,0.7078490418131104,0.027112184695030964,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-424.24242424242425,0.7308527913358804,0.027856803542943186,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-383.83838383838383,0.7448698342881551,0.028122822474944815,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-343.43434343434365,0.7300578398222877,0.028023570211762057,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-303.03030303030323,0.7293334509694729,0.02804654138249013,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-262.6262626262628,0.7419855602916223,0.0287846115849352,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-222.2222222222224,0.7636803694646893,0.028879270305525027,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-181.81818181818198,0.7674659062554988,0.0283080196380405,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-141.41414141414157,0.744304723149365,0.02750353086593014,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-101.01010101010115,0.731749456598506,0.027638000161365826,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-60.60606060606074,0.7383511509600281,0.02780875127199671,6117
WT,G4_quartile,S9.6 (R-loop),Q3,-20.20202020202032,0.7191302790032266,0.026763913752848003,6117
WT,G4_quartile,S9.6 (R-loop),Q3,20.202020202020094,0.6985225093289199,0.026671093879490113,6117
WT,G4_quartile,S9.6 (R-loop),Q3,60.60606060606051,0.6714999658125793,0.025742453640753053,6117
WT,G4_quartile,S9.6 (R-loop),Q3,101.0101010101007,0.6983420571100504,0.02653204577372226,6117
