ko,dz_class,genotype,bin,position,mean,sem,n
DHX36KO,gained,WT,78,1898.73417721519,2.3233067787628547,0.28577144119707226,102
DHX36KO,gained,WT,79,1949.3670886075947,2.4231203333225126,0.306039630364205,102
DHX36KO,gained,WT,80,2000,2.3022577903551213,0.2889086150642058,102
DHX36KO,stable,WT,1,-2000,3.7990774584829126,0.16126833311849295,2951
DHX36KO,stable,WT,2,-1949.367088607595,3.848601244966095,0.1568077995761145,2951
DHX36KO,stable,WT,3,-1898.73417721519,3.8564580857655457,0.14843708053172905,2951
DHX36KO,stable,WT,4,-1848.1012658227849,3.8738211839591985,0.14283841834243466,2951
DHX36KO,stable,WT,5,-1797.4683544303798,3.8936122531410424,0.1425246727053385,2951
DHX36KO,stable,WT,6,-1746.8354430379748,3.9193202366223514,0.1427003025042106,2951
DHX36KO,stable,WT,7,-1696.2025316455697,3.9235093601426203,0.14383581146128774,2951
DHX36KO,stable,WT,8,-1645.5696202531644,3.9158351309025043,0.14427426524012393,2951
DHX36KO,stable,WT,9,-1594.9367088607596,3.9272726076020636,0.14589983782688123,2951
DHX36KO,stable,WT,10,-1544.3037974683543,3.9341506950224803,0.14772548108231115,2951
DHX36KO,stable,WT,11,-1493.6708860759495,3.9136167997246365,0.1513882020960674,2951
DHX36KO,stable,WT,12,-1443.0379746835442,3.919854638391762,0.15332390690273412,2951
DHX36KO,stable,WT,13,-1392.4050632911392,3.945826749985035,0.15340428595480957,2951
DHX36KO,stable,WT,14,-1341.7721518987341,3.9663874226850964,0.1517400450315878,2951
DHX36KO,stable,WT,15,-1291.139240506329,4.011024959719707,0.1519151661178583,2951
DHX36KO,stable,WT,16,-1240.506329113924,4.047152148591695,0.15156749446104426,2951
DHX36KO,stable,WT,17,-1189.873417721519,4.037268478071085,0.1501371403594377,2951
DHX36KO,stable,WT,18,-1139.240506329114,3.9748367779238487,0.14920770329836075,2951
DHX36KO,stable,WT,19,-1088.607594936709,3.920948674813995,0.14798702251721965,2951
DHX36KO,stable,WT,20,-1037.9746835443038,3.8585302699693487,0.14629665954736604,2951
DHX36KO,stable,WT,21,-987.3417721518988,3.8325077142150445,0.14607605265800752,2951
DHX36KO,stable,WT,22,-936.7088607594937,3.807719662892378,0.14224574858489714,2951
