motif_id,tf,motif_gc,frac_unclassified,frac_classified,frac_background,log2OR_vs_classified,p_vs_classified,log2OR_vs_background,p_vs_background,q_vs_classified,q_vs_background
MA0816.1,Ascl2,0.584,0.022202591283863368,0.03027090694935218,0.03616018845700825,-0.4586478860417546,3.736341624961701e-6,-0.7236779260103393,2.1114027405425692e-14,6.112523798731204e-6,5.303388701834197e-14
MA0616.2,HES2,0.723,0.002767962308598351,0.004652532391048292,0.004593639575971731,-0.7457562522333416,0.005449486349249056,-0.7274086893714788,0.006943585140847737,0.007157247916443302,0.009439202626334344
MA0112.3,ESR1,0.563,0.009717314487632508,0.015901060070671377,0.0160188457008245,-0.7178341529298841,4.611509208353803e-7,-0.7286344683858514,2.930154357020633e-7,8.019081280727125e-7,5.437550125217393e-7
MA0823.1,HEY1,0.687,0.0035335689045936395,0.006772673733804476,0.005889281507656066,-0.937582915213558,3.722687806629173e-5,-0.7356030172944188,0.0019063872484188506,5.749741415621871e-5,0.002698605099279815
MA0056.2,MZF1,0.518,0.01707891637220259,0.04375736160188457,0.028268551236749116,-1.395492227370606,9.19051471514068e-48,-0.742515699924842,4.406817310752209e-12,5.859935023499955e-47,1.0469699725545056e-11
MA0638.1,CREB3,0.559,0.002591283863368669,0.004240282685512367,0.004358068315665489,-0.7065627454932588,0.011706662249722019,-0.7459928333460834,0.0072290774232534405,0.015161753538702475,0.009787462355257834
MA0640.2,ELF3,0.503,0.03586572438162544,0.06908127208480565,0.058775029446407535,-0.9956970077828754,2.136065382561251e-43,-0.746829624373814,2.2187450017673466e-23,1.2547281695989711e-42,8.234745130937516e-23
MA1466.1,ATF6,0.577,0.0031802120141342758,0.0049469964664310955,0.00535924617196702,-0.6352543677851026,0.013087665483612433,-0.7506725834038865,0.0026127897569410675,0.016833445604784267,0.00365692525080307
MA0825.1,MNT,0.598,0.004829210836277974,0.0076560659599528855,0.00812720848056537,-0.6656875725789558,0.0011531021738233158,-0.7522088434469163,1.851631763010181e-4,0.0015989111926992445,2.848076897331124e-4
MA1523.1,MSANTD3,0.512,0.018138987043580683,0.027738515901060072,0.03032979976442874,-0.6261613025739861,3.806504514550176e-9,-0.7587260650727996,2.741587975060043e-13,7.281159917575466e-9,6.749916268629676e-13
MA0759.1,ELK3,0.555,0.0037102473498233216,0.0077738515901060075,0.006301531213191991,-1.0670600953611409,8.098654150056787e-7,-0.76326529446037,8.91997272869216e-4,1.3888726427453708e-6,0.0013047646383537942
MA0496.3,MAFK,0.505,0.023851590106007067,0.0392226148409894,0.04010600706713781,-0.7398005777748925,4.992449625175283e-16,-0.7732364231533113,1.5168936349830288e-17,1.3022263707625038e-15,4.3523178911436135e-17
MA0139.1,CTCF,0.645,0.019140164899882215,0.037102473498233215,0.032332155477031804,-0.9805027375306161,8.074317366232563e-24,-0.7749964151623715,1.5572883250790133e-14,2.7886299792636536e-23,3.938091832233708e-14
