ko,column,direction,bin,position,mean,sem,n
dKO,WT (dKO DEGs),up,79,1949.3670886075947,1.444348252116437,0.20100096263770176,83
dKO,WT (dKO DEGs),up,80,2000,1.5188686082736556,0.1982742899641596,83
dKO,WT (dKO DEGs),down,1,-2000,2.7050060259777564,1.2760145088360486,23
dKO,WT (dKO DEGs),down,2,-1949.367088607595,2.7585565832386845,1.2282100166076246,23
dKO,WT (dKO DEGs),down,3,-1898.73417721519,2.581647120524144,1.1928100678110247,23
dKO,WT (dKO DEGs),down,4,-1848.1012658227849,2.4354762581120366,1.1921420790517694,23
dKO,WT (dKO DEGs),down,5,-1797.4683544303798,2.4044849571974383,1.3675014730467594,23
dKO,WT (dKO DEGs),down,6,-1746.8354430379748,2.5282290295587067,1.448058791119807,23
dKO,WT (dKO DEGs),down,7,-1696.2025316455697,2.219179550910342,1.1141365420016973,23
dKO,WT (dKO DEGs),down,8,-1645.5696202531644,1.8577528715479201,0.8756943812061876,23
dKO,WT (dKO DEGs),down,9,-1594.9367088607596,1.8313812390272168,0.8105398311303088,23
dKO,WT (dKO DEGs),down,10,-1544.3037974683543,1.8316934859925422,0.7276573693565102,23
dKO,WT (dKO DEGs),down,11,-1493.6708860759495,1.7623816225494164,0.7043406683311162,23
dKO,WT (dKO DEGs),down,12,-1443.0379746835442,1.8914849578470423,0.6544169144890734,23
dKO,WT (dKO DEGs),down,13,-1392.4050632911392,1.8981735956496086,0.6204149775035972,23
dKO,WT (dKO DEGs),down,14,-1341.7721518987341,1.7636445222039154,0.5291439895852109,23
dKO,WT (dKO DEGs),down,15,-1291.139240506329,1.5759852585585221,0.42455999769490227,23
dKO,WT (dKO DEGs),down,16,-1240.506329113924,1.463503296651702,0.3739833506786867,23
dKO,WT (dKO DEGs),down,17,-1189.873417721519,1.5634027440997138,0.38763763557110303,23
dKO,WT (dKO DEGs),down,18,-1139.240506329114,1.5937910063370415,0.37114839718150616,23
dKO,WT (dKO DEGs),down,19,-1088.607594936709,1.7350459156520124,0.3649053061923742,23
dKO,WT (dKO DEGs),down,20,-1037.9746835443038,1.6689857519882314,0.3638498894917625,23
dKO,WT (dKO DEGs),down,21,-987.3417721518988,1.6765259955240333,0.38641520901447923,23
dKO,WT (dKO DEGs),down,22,-936.7088607594937,1.6193971416915671,0.3736673729492541,23
dKO,WT (dKO DEGs),down,23,-886.0759493670887,1.4907341425660727,0.36378630168886894,23
dKO,WT (dKO DEGs),down,24,-835.4430379746836,1.5552977936855261,0.3579132626848825,23
dKO,WT (dKO DEGs),down,25,-784.8101265822784,1.6974207139015198,0.3974318830209212,23
dKO,WT (dKO DEGs),down,26,-734.1772151898733,1.6325556754720385,0.38476548408047606,23
dKO,WT (dKO DEGs),down,27,-683.5443037974683,1.7906893871141516,0.5052968935143801,23
dKO,WT (dKO DEGs),down,28,-632.9113924050632,1.8696100807881009,0.6166036051772148,23
dKO,WT (dKO DEGs),down,29,-582.2784810126582,1.7352532853596454,0.5323630785034795,23
dKO,WT (dKO DEGs),down,30,-531.6455696202531,1.694971160474031,0.5408436970063167,23
dKO,WT (dKO DEGs),down,31,-481.0126582278481,1.711899262511212,0.5479532869875369,23
dKO,WT (dKO DEGs),down,32,-430.37974683544303,1.5184470485949864,0.4572385026506117,23
dKO,WT (dKO DEGs),down,33,-379.746835443038,1.49850477249726,0.40632776270406457,23
dKO,WT (dKO DEGs),down,34,-329.11392405063293,1.3856695434321529,0.3476236322440698,23
dKO,WT (dKO DEGs),down,35,-278.4810126582279,1.1616125334864078,0.2165358650535145,23
dKO,WT (dKO DEGs),down,36,-227.84810126582283,1.2267693497478098,0.23133842046531383,23
dKO,WT (dKO DEGs),down,37,-177.21518987341778,1.3615838633067365,0.3033983388593685,23
dKO,WT (dKO DEGs),down,38,-126.58227848101274,1.477284963891126,0.37397279449489174,23
dKO,WT (dKO DEGs),down,39,-75.94936708860769,1.4756851104722508,0.4091152294397464,23
dKO,WT (dKO DEGs),down,40,-25.316455696202638,1.7384659713247548,0.5167192136306692,23
dKO,WT (dKO DEGs),down,41,25.31645569620241,1.674365139802297,0.43755288314713137,23
dKO,WT (dKO DEGs),down,42,75.94936708860769,1.7190619996319647,0.4390416721957661,23
dKO,WT (dKO DEGs),down,43,126.58227848101251,1.4903037268873573,0.4002240566017594,23
dKO,WT (dKO DEGs),down,44,177.21518987341778,1.2615910077095032,0.40187156067202234,23
dKO,WT (dKO DEGs),down,45,227.8481012658226,1.3415382870729418,0.5299650323721083,23
dKO,WT (dKO DEGs),down,46,278.4810126582279,1.5873965328327124,0.7805537548860587,23
dKO,WT (dKO DEGs),down,47,329.1139240506327,1.6279867090349611,0.8172196900613703,23
dKO,WT (dKO DEGs),down,48,379.746835443038,1.9301045555308245,1.0341365290607405,23
dKO,WT (dKO DEGs),down,49,430.37974683544326,2.091326812453892,1.1465185313696722,23
dKO,WT (dKO DEGs),down,50,481.0126582278481,2.0936485560735068,1.2035786738898036,23
dKO,WT (dKO DEGs),down,51,531.6455696202534,2.07874085198278,1.185729090067738,23
dKO,WT (dKO DEGs),down,52,582.2784810126582,2.084428143190301,1.135076370473509,23
dKO,WT (dKO DEGs),down,53,632.9113924050635,2.1496911916871,1.0381916139085556,23
dKO,WT (dKO DEGs),down,54,683.5443037974683,2.024543602846671,0.7665609032716065,23
dKO,WT (dKO DEGs),down,55,734.1772151898736,1.9447987129377282,0.7620562257645076,23
dKO,WT (dKO DEGs),down,56,784.8101265822784,1.7719692389515862,0.6788587029187533,23
dKO,WT (dKO DEGs),down,57,835.4430379746836,1.6389895628155142,0.5294705634388562,23
dKO,WT (dKO DEGs),down,58,886.0759493670885,1.5184031889058542,0.43416246196492764,23
dKO,WT (dKO DEGs),down,59,936.7088607594937,1.5360872177110203,0.45621737972371945,23
dKO,WT (dKO DEGs),down,60,987.3417721518986,1.58171450946642,0.5707211066629762,23
dKO,WT (dKO DEGs),down,61,1037.9746835443038,1.713822370266569,0.6375827054598753,23
dKO,WT (dKO DEGs),down,62,1088.6075949367087,2.0620233811157336,0.8104012837528098,23
dKO,WT (dKO DEGs),down,63,1139.240506329114,2.206584170901257,1.1174835644732954,23
dKO,WT (dKO DEGs),down,64,1189.8734177215188,2.4659515916437345,1.3525290025138963,23
dKO,WT (dKO DEGs),down,65,1240.506329113924,2.002923111777375,1.196734638111562,23
dKO,WT (dKO DEGs),down,66,1291.1392405063293,1.9704249267647231,0.9723661724320153,23
dKO,WT (dKO DEGs),down,67,1341.7721518987341,1.899761591994244,0.8181204084861282,23
dKO,WT (dKO DEGs),down,68,1392.4050632911394,1.922546589685523,0.7573686930519354,23
dKO,WT (dKO DEGs),down,69,1443.0379746835442,2.0232014542731687,0.6504060395000489,23
dKO,WT (dKO DEGs),down,70,1493.6708860759495,1.7122314871912416,0.4927334810700157,23
dKO,WT (dKO DEGs),down,71,1544.3037974683543,1.6860240986036217,0.5159861900263821,23
dKO,WT (dKO DEGs),down,72,1594.9367088607596,1.4921080480105635,0.45428822949971803,23
dKO,WT (dKO DEGs),down,73,1645.5696202531644,1.3901080105270165,0.37299627579877837,23
dKO,WT (dKO DEGs),down,74,1696.2025316455697,1.397910752987516,0.3473338685301189,23
dKO,WT (dKO DEGs),down,75,1746.8354430379745,1.486766905128092,0.34679594699361654,23
dKO,WT (dKO DEGs),down,76,1797.4683544303798,1.603031417010487,0.3751333867029927,23
dKO,WT (dKO DEGs),down,77,1848.1012658227846,1.556575682854307,0.41739445149419,23
dKO,WT (dKO DEGs),down,78,1898.73417721519,1.5098712873113327,0.4392073167693364,23
dKO,WT (dKO DEGs),down,79,1949.3670886075947,1.4758378276272097,0.4204901285533655,23
dKO,WT (dKO DEGs),down,80,2000,1.468497108583865,0.44772675007465074,23
DHX36KO,DHX36KO,up,1,-2000,1.7278166082234887,0.23586537806011146,41
DHX36KO,DHX36KO,up,2,-1949.367088607595,1.8840096835392277,0.2671925973781127,41
DHX36KO,DHX36KO,up,3,-1898.73417721519,1.9799742603302002,0.28488788752996674,41
DHX36KO,DHX36KO,up,4,-1848.1012658227849,2.2178127354528847,0.32584392418876207,41
DHX36KO,DHX36KO,up,5,-1797.4683544303798,2.3194160960166434,0.35036918021690944,41
DHX36KO,DHX36KO,up,6,-1746.8354430379748,2.1863392190429254,0.3227810478054443,41
DHX36KO,DHX36KO,up,7,-1696.2025316455697,2.0394032214521394,0.30160511469893075,41
DHX36KO,DHX36KO,up,8,-1645.5696202531644,1.8240050571720774,0.256145285491777,41
DHX36KO,DHX36KO,up,9,-1594.9367088607596,1.8862853183591268,0.2593886665424497,41
DHX36KO,DHX36KO,up,10,-1544.3037974683543,1.9873835755751386,0.26045296222248354,41
DHX36KO,DHX36KO,up,11,-1493.6708860759495,2.0363939466515206,0.28816853064181536,41
DHX36KO,DHX36KO,up,12,-1443.0379746835442,2.151022983411463,0.4227889820580706,41
DHX36KO,DHX36KO,up,13,-1392.4050632911392,2.1365141779038965,0.5324679388003676,41
DHX36KO,DHX36KO,up,14,-1341.7721518987341,2.22165079430836,0.6128260505580256,41
DHX36KO,DHX36KO,up,15,-1291.139240506329,2.1684548337285112,0.5627938523012039,41
DHX36KO,DHX36KO,up,16,-1240.506329113924,2.2316705776230106,0.5694020432649955,41
DHX36KO,DHX36KO,up,17,-1189.873417721519,2.3094387516355126,0.5795400700777036,41
DHX36KO,DHX36KO,up,18,-1139.240506329114,2.4391047789992357,0.6565558164287629,41
DHX36KO,DHX36KO,up,19,-1088.607594936709,2.6556829128226616,0.6878492861871853,41
DHX36KO,DHX36KO,up,20,-1037.9746835443038,2.8088465029049696,0.7803686161477263,41
DHX36KO,DHX36KO,up,21,-987.3417721518988,3.0567465143475108,0.9713166834972558,41
DHX36KO,DHX36KO,up,22,-936.7088607594937,3.4948557891109124,1.1073305335954933,41
DHX36KO,DHX36KO,up,23,-886.0759493670887,3.87815101146698,1.197688047248777,41
DHX36KO,DHX36KO,up,24,-835.4430379746836,3.961195750701718,1.1726585080707526,41
DHX36KO,DHX36KO,up,25,-784.8101265822784,4.075437388517023,1.1896360740149943,41
DHX36KO,DHX36KO,up,26,-734.1772151898733,4.3782944612192916,1.2182743027842773,41
DHX36KO,DHX36KO,up,27,-683.5443037974683,5.407686486709409,1.6202326875477413,41
DHX36KO,DHX36KO,up,28,-632.9113924050632,6.172798097637611,1.9695775858851394,41
DHX36KO,DHX36KO,up,29,-582.2784810126582,6.681790377919267,2.0644518358746247,41
DHX36KO,DHX36KO,up,30,-531.6455696202531,7.0131372186614245,2.0837920206463436,41
DHX36KO,DHX36KO,up,31,-481.0126582278481,7.146120859743133,2.1226995099415547,41
DHX36KO,DHX36KO,up,32,-430.37974683544303,7.006454992294311,2.090752295370377,41
DHX36KO,DHX36KO,up,33,-379.746835443038,6.389356635295279,1.9404662584468355,41
DHX36KO,DHX36KO,up,34,-329.11392405063293,5.52738839256085,1.6310322676392301,41
DHX36KO,DHX36KO,up,35,-278.4810126582279,4.81276081100712,1.2985584886676462,41
DHX36KO,DHX36KO,up,36,-227.84810126582283,4.291544939095412,1.0994258042117364,41
DHX36KO,DHX36KO,up,37,-177.21518987341778,3.994254685494958,0.9520454940800261,41
DHX36KO,DHX36KO,up,38,-126.58227848101274,3.8657626715714373,1.0768243062435947,41
DHX36KO,DHX36KO,up,39,-75.94936708860769,4.019638918706072,1.1827489341947417,41
DHX36KO,DHX36KO,up,40,-25.316455696202638,4.281710545958542,1.3653177147973758,41
DHX36KO,DHX36KO,up,41,25.31645569620241,4.495443216727032,1.5434657417950388,41
DHX36KO,DHX36KO,up,42,75.94936708860769,4.455970364683043,1.6383032903803119,41
DHX36KO,DHX36KO,up,43,126.58227848101251,4.266664745187372,1.4098254051727244,41
DHX36KO,DHX36KO,up,44,177.21518987341778,3.4929477430165297,1.0972601441305692,41
DHX36KO,DHX36KO,up,45,227.8481012658226,3.3474128787498163,1.0290686476679263,41
DHX36KO,DHX36KO,up,46,278.4810126582279,3.826315225081715,1.2492081757436801,41
DHX36KO,DHX36KO,up,47,329.1139240506327,3.236374720984358,0.8709782774692907,41
DHX36KO,DHX36KO,up,48,379.746835443038,3.136819615829282,0.6953474549009709,41
DHX36KO,DHX36KO,up,49,430.37974683544326,2.976027000260547,0.5683515118425649,41
DHX36KO,DHX36KO,up,50,481.0126582278481,3.0629573543478803,0.5354525017267715,41
DHX36KO,DHX36KO,up,51,531.6455696202534,2.8797120338145312,0.48300081747671286,41
DHX36KO,DHX36KO,up,52,582.2784810126582,2.713450508776719,0.4054454541792198,41
DHX36KO,DHX36KO,up,53,632.9113924050635,2.708421325974348,0.39345705548998133,41
DHX36KO,DHX36KO,up,54,683.5443037974683,2.6990120081785247,0.3960940150818724,41
DHX36KO,DHX36KO,up,55,734.1772151898736,2.7211735541452238,0.4422471428627374,41
DHX36KO,DHX36KO,up,56,784.8101265822784,2.9667650311749156,0.6301385864072381,41
DHX36KO,DHX36KO,up,57,835.4430379746836,3.4108373404324537,0.9366892567242926,41
DHX36KO,DHX36KO,up,58,886.0759493670885,3.762962063192352,1.2624616119894219,41
DHX36KO,DHX36KO,up,59,936.7088607594937,4.174763505652669,1.6167806446222432,41
DHX36KO,DHX36KO,up,60,987.3417721518986,4.335965556613798,1.7761329435355413,41
DHX36KO,DHX36KO,up,61,1037.9746835443038,4.030960413266004,1.6116233295363278,41
DHX36KO,DHX36KO,up,62,1088.6075949367087,3.8043694766944016,1.5118577274581908,41
DHX36KO,DHX36KO,up,63,1139.240506329114,3.6737999480332784,1.482412292534253,41
DHX36KO,DHX36KO,up,64,1189.8734177215188,3.8089018403030024,1.4802220557049135,41
DHX36KO,DHX36KO,up,65,1240.506329113924,3.5736699260153424,1.2310540179677614,41
DHX36KO,DHX36KO,up,66,1291.1392405063293,3.000092508482739,0.8307118414508248,41
DHX36KO,DHX36KO,up,67,1341.7721518987341,2.8438946354486108,0.765592176668493,41
DHX36KO,DHX36KO,up,68,1392.4050632911394,2.810765319413286,0.7679953256380737,41
DHX36KO,DHX36KO,up,69,1443.0379746835442,2.6771318019890202,0.6978744810949701,41
DHX36KO,DHX36KO,up,70,1493.6708860759495,2.6735762746741134,0.6239533616534112,41
DHX36KO,DHX36KO,up,71,1544.3037974683543,2.477921148412596,0.49731748544987386,41
DHX36KO,DHX36KO,up,72,1594.9367088607596,2.2630377911746016,0.40567548083505905,41
DHX36KO,DHX36KO,up,73,1645.5696202531644,2.02187401319907,0.34201115947644933,41
DHX36KO,DHX36KO,up,74,1696.2025316455697,1.8705138421834,0.3196487421690921,41
DHX36KO,DHX36KO,up,75,1746.8354430379745,2.08080564363216,0.38546636481162616,41
DHX36KO,DHX36KO,up,76,1797.4683544303798,2.3013134621798508,0.45415216417598847,41
DHX36KO,DHX36KO,up,77,1848.1012658227846,2.2610464263931522,0.4534391370889244,41
DHX36KO,DHX36KO,up,78,1898.73417721519,2.415591739038142,0.5243663127531125,41
DHX36KO,DHX36KO,up,79,1949.3670886075947,2.431849944765975,0.5166611143732432,41
DHX36KO,DHX36KO,up,80,2000,2.463389584242813,0.49529009752861836,41
DHX36KO,DHX36KO,down,1,-2000,5.2474984139726875,3.118201346839794,19
DHX36KO,DHX36KO,down,2,-1949.367088607595,5.3360667089830365,2.9185428684751717,19
DHX36KO,DHX36KO,down,3,-1898.73417721519,4.96576743058991,2.3194063320243434,19
DHX36KO,DHX36KO,down,4,-1848.1012658227849,4.065638121638382,1.6507268115463072,19
DHX36KO,DHX36KO,down,5,-1797.4683544303798,3.680738330598463,1.406807594658558,19
DHX36KO,DHX36KO,down,6,-1746.8354430379748,3.087383572636989,1.1999640686262687,19
DHX36KO,DHX36KO,down,7,-1696.2025316455697,2.752039627108658,1.1202573586393687,19
DHX36KO,DHX36KO,down,8,-1645.5696202531644,2.7193827771303947,0.9357502903489713,19
DHX36KO,DHX36KO,down,9,-1594.9367088607596,2.782218891988721,0.7547897352459689,19
DHX36KO,DHX36KO,down,10,-1544.3037974683543,2.944145364928664,0.7752331634418836,19
DHX36KO,DHX36KO,down,11,-1493.6708860759495,3.3384294201198377,0.9371335006619561,19
DHX36KO,DHX36KO,down,12,-1443.0379746835442,3.2193100884086205,0.9255538167468917,19
DHX36KO,DHX36KO,down,13,-1392.4050632911392,2.673778899594357,0.7150652255091688,19
DHX36KO,DHX36KO,down,14,-1341.7721518987341,2.220303572771842,0.524982421777191,19
DHX36KO,DHX36KO,down,15,-1291.139240506329,2.0913955046001234,0.5531996913080217,19
DHX36KO,DHX36KO,down,16,-1240.506329113924,2.018875894630164,0.6199344812598646,19
DHX36KO,DHX36KO,down,17,-1189.873417721519,2.087162947403757,0.6388713083340776,19
DHX36KO,DHX36KO,down,18,-1139.240506329114,2.066641228910078,0.63948251817577,19
DHX36KO,DHX36KO,down,19,-1088.607594936709,2.1408652495501332,0.6322592168852837,19
DHX36KO,DHX36KO,down,20,-1037.9746835443038,2.110331966165911,0.6219157590167473,19
DHX36KO,DHX36KO,down,21,-987.3417721518988,2.062639938990275,0.5940404694513339,19
DHX36KO,DHX36KO,down,22,-936.7088607594937,1.9555065510984053,0.4534222756914439,19
DHX36KO,DHX36KO,down,23,-886.0759493670887,1.9886422646673103,0.422413678260952,19
DHX36KO,DHX36KO,down,24,-835.4430379746836,1.8564466577663756,0.41118527372232183,19
DHX36KO,DHX36KO,down,25,-784.8101265822784,1.4465984280904134,0.3192136704194199,19
DHX36KO,DHX36KO,down,26,-734.1772151898733,1.4808287984864754,0.35456901217670345,19
