bin,position,mean,sem,ko,signal_geno,topology,direction,n_promoters,column
55,734.1772151898736,4.258637935350973,0.4445643180728508,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
56,784.8101265822784,4.305169019455605,0.46896228088537517,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
57,835.4430379746836,4.380339001692779,0.544187671170727,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
58,886.0759493670885,4.3275969726210795,0.6150679406105907,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
59,936.7088607594937,4.328048752821929,0.6308091194263131,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
60,987.3417721518986,4.353367854733839,0.5904433863593882,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
61,1037.9746835443038,4.34079815545657,0.5618932088715555,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
62,1088.6075949367087,4.34446241984807,0.5589248214358166,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
63,1139.240506329114,4.2957860455885,0.5080086780830956,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
64,1189.8734177215188,4.1241712092102,0.4470940624112139,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
65,1240.506329113924,3.970427430210384,0.41650531504327254,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
66,1291.1392405063293,3.8551171126061297,0.39881197233817345,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
67,1341.7721518987341,3.7323769711771755,0.4030424012053517,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
68,1392.4050632911394,3.548055427673015,0.4195125898007355,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
69,1443.0379746835442,3.6683525785757296,0.46228356856453423,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
70,1493.6708860759495,3.650976366763419,0.457357407270691,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
71,1544.3037974683543,3.559134837759302,0.4276012652903334,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
72,1594.9367088607596,3.3866583789595475,0.3448496506392756,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
73,1645.5696202531644,3.2793602499386942,0.30390266585352377,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
74,1696.2025316455697,3.2173687030203797,0.3046973572145785,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
75,1746.8354430379745,3.1528471626559047,0.31697168106461565,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
76,1797.4683544303798,3.1979416213948677,0.32675357181304143,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
77,1848.1012658227846,3.145364646938676,0.31110858076189235,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
78,1898.73417721519,3.0208705345857227,0.31155023996917136,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
79,1949.3670886075947,3.0166692225544165,0.2973300276285019,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
80,2000,3.061052305424467,0.29570350209357577,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
1,-2000,3.997429783910808,0.5290479774833249,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
2,-1949.367088607595,4.128393277914742,0.5395668138447939,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
3,-1898.73417721519,4.2028989313669065,0.5171238431674675,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
4,-1848.1012658227849,4.189716598171868,0.45049328249773507,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
5,-1797.4683544303798,4.155354087166529,0.40094095128118834,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
6,-1746.8354430379748,4.193085432585054,0.4125716375618411,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
7,-1696.2025316455697,4.291997456406341,0.451856307294908,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
8,-1645.5696202531644,4.27269137322706,0.4786245814775685,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
9,-1594.9367088607596,4.308370278715694,0.4986880321317391,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
10,-1544.3037974683543,4.313337681102018,0.48565478545872487,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
11,-1493.6708860759495,4.3526712136929575,0.47087577814794196,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
12,-1443.0379746835442,4.273346733115818,0.4514571406014047,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
13,-1392.4050632911392,4.2160599317435254,0.4415612392452755,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
14,-1341.7721518987341,4.334403406498325,0.5528324178972152,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
15,-1291.139240506329,4.346749954160684,0.639177558223419,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
16,-1240.506329113924,4.334875724040242,0.6923522203030102,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
17,-1189.873417721519,4.515787262449694,0.7260952669170565,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
18,-1139.240506329114,4.552124222418656,0.6726638049487004,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
19,-1088.607594936709,4.397329158706896,0.48643037715159404,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
20,-1037.9746835443038,4.293738313741548,0.34640679760738646,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
21,-987.3417721518988,4.34886176843192,0.32919768690990814,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
22,-936.7088607594937,4.4631333847460315,0.36221911720591565,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
23,-886.0759493670887,4.657124898415325,0.4442927862315974,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
24,-835.4430379746836,4.867813649938182,0.5292377109798632,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
25,-784.8101265822784,5.016287355517397,0.6026946320388906,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
26,-734.1772151898733,5.124148997604782,0.6431342478040714,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
27,-683.5443037974683,5.146840707311536,0.6479708231848424,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
28,-632.9113924050632,5.292059495538243,0.6534067014702659,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
29,-582.2784810126582,5.4156275107889416,0.6682625810008826,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
30,-531.6455696202531,5.473563407506093,0.6645472075921163,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
31,-481.0126582278481,5.414517692698635,0.6644400210096697,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
32,-430.37974683544303,5.317914561886992,0.6895333474134379,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
33,-379.746835443038,5.215837146094923,0.7275194211113789,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
34,-329.11392405063293,5.445330658625193,0.8508647186367547,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
35,-278.4810126582279,5.743484810689101,1.0153332360058929,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
36,-227.84810126582283,6.103741080692761,1.1197629712896604,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
37,-177.21518987341778,6.350641091394476,1.1522053942706687,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
38,-126.58227848101274,6.52333553113822,1.091524160060881,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
39,-75.94936708860769,6.442998210114352,0.8994573443933865,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
40,-25.316455696202638,6.278356875227098,0.7439698820235603,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
41,25.31645569620241,6.269422292137565,0.688841070246691,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
