bin,position,mean,sem,genotype,feature,n_regions
41,25.31645569620241,2.4629219103423323,0.050074219074404555,WT,intron1,16000
42,75.94936708860769,2.4464659436210656,0.050324778222161665,WT,intron1,16000
43,126.58227848101251,2.4372930510369963,0.049321174869016216,WT,intron1,16000
44,177.21518987341778,2.4443129901930534,0.04860346972560839,WT,intron1,16000
45,227.8481012658226,2.4517644195737422,0.04949664563461896,WT,intron1,16000
46,278.4810126582279,2.448741525240071,0.05097922639722464,WT,intron1,16000
47,329.1139240506327,2.4443500491111605,0.05113607706878268,WT,intron1,16000
48,379.746835443038,2.4415450627485793,0.05113580392272216,WT,intron1,16000
49,430.37974683544326,2.4391164869097897,0.05259526129520133,WT,intron1,16000
50,481.0126582278481,2.431607795511141,0.05245791994347169,WT,intron1,16000
51,531.6455696202534,2.4337744118258837,0.05235768037049893,WT,intron1,16000
52,582.2784810126582,2.450797582214321,0.05471440155751998,WT,intron1,16000
53,632.9113924050635,2.455399689295658,0.05476302413792589,WT,intron1,16000
54,683.5443037974683,2.423333935529431,0.052572337796552626,WT,intron1,16000
55,734.1772151898736,2.393048332623633,0.050900635182708716,WT,intron1,16000
56,784.8101265822784,2.3785752838252385,0.05081811588662059,WT,intron1,16000
57,835.4430379746836,2.347717440369221,0.049704188653662114,WT,intron1,16000
58,886.0759493670885,2.3257244781973285,0.047974178964572074,WT,intron1,16000
59,936.7088607594937,2.313874291472726,0.04633301238080521,WT,intron1,16000
60,987.3417721518986,2.318968244000827,0.04524146807624765,WT,intron1,16000
61,1037.9746835443038,2.3250650403313253,0.04461703349123353,WT,intron1,16000
62,1088.6075949367087,2.332655861859406,0.04508927971067715,WT,intron1,16000
63,1139.240506329114,2.331489324697533,0.04546479210011496,WT,intron1,16000
64,1189.8734177215188,2.3419999878730997,0.046116494505122146,WT,intron1,16000
65,1240.506329113924,2.353642370742651,0.04666866775695354,WT,intron1,16000
66,1291.1392405063293,2.3579742757609616,0.046759695307591394,WT,intron1,16000
67,1341.7721518987341,2.3654860286858623,0.04674015310089601,WT,intron1,16000
68,1392.4050632911394,2.3597987679865686,0.04690066179216236,WT,intron1,16000
69,1443.0379746835442,2.3652498087810008,0.04706808285223143,WT,intron1,16000
70,1493.6708860759495,2.380951811961474,0.047568196894003253,WT,intron1,16000
71,1544.3037974683543,2.385508980624201,0.047958421268822986,WT,intron1,16000
72,1594.9367088607596,2.392484975023084,0.05090357703522839,WT,intron1,16000
73,1645.5696202531644,2.3887204520949274,0.05486706566141733,WT,intron1,16000
74,1696.2025316455697,2.3808193162965168,0.05777676959142007,WT,intron1,16000
75,1746.8354430379745,2.385154031212325,0.058762900349176195,WT,intron1,16000
76,1797.4683544303798,2.38546965977292,0.0580878089698702,WT,intron1,16000
77,1848.1012658227846,2.395777972872342,0.05762238913335963,WT,intron1,16000
78,1898.73417721519,2.408007856988046,0.055833498805995786,WT,intron1,16000
79,1949.3670886075947,2.404056024699608,0.05305618953458954,WT,intron1,16000
