bin,position,mean,sem,unit,ko,signal_geno,topology,direction,n_5utr,column
14,-1341.7721518987341,5.963635640260246,0.7797917063518384,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
15,-1291.139240506329,6.105857482937475,0.7933441719012444,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
16,-1240.506329113924,6.654448411129415,0.8379622439868084,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
17,-1189.873417721519,7.139512084763911,0.8859139386296688,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
18,-1139.240506329114,7.748606159103414,1.017781968462498,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
19,-1088.607594936709,8.098094150775836,1.1072775025870374,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
20,-1037.9746835443038,8.588924411166873,1.164448296254787,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
21,-987.3417721518988,8.508328902547557,1.0973691300833028,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
22,-936.7088607594937,8.110335396002563,1.0111696022747276,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
23,-886.0759493670887,7.868912652797169,0.9185218668742064,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
24,-835.4430379746836,7.788226736063758,0.8460735135989182,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
25,-784.8101265822784,8.140989404552514,0.842202320408785,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
26,-734.1772151898733,8.534630789280765,0.8428265356314995,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
27,-683.5443037974683,9.015658279131683,0.8390172789282497,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
28,-632.9113924050632,9.48649886622611,0.8193975526024166,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
29,-582.2784810126582,9.904388655055728,0.8313317063823336,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
30,-531.6455696202531,10.236229201890529,0.8700420850341926,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
