bin,position,mean,sem,genotype,group
55,734.1772151898736,8.444972150073005,0.6338176151614224,DHX36KO,hybrid
56,784.8101265822784,8.395352575421226,0.6743571176817421,DHX36KO,hybrid
57,835.4430379746836,8.354949562198282,0.6761915275744903,DHX36KO,hybrid
58,886.0759493670885,8.28676063839923,0.6588484513425464,DHX36KO,hybrid
59,936.7088607594937,8.136946603523539,0.6157334299809882,DHX36KO,hybrid
60,987.3417721518986,8.09474482329815,0.583921651629814,DHX36KO,hybrid
61,1037.9746835443038,8.189096203629362,0.5931180972052871,DHX36KO,hybrid
62,1088.6075949367087,8.237452505679501,0.5948364599333513,DHX36KO,hybrid
63,1139.240506329114,8.220781944732032,0.5995852439473626,DHX36KO,hybrid
64,1189.8734177215188,8.365143720902308,0.6344405882190525,DHX36KO,hybrid
65,1240.506329113924,8.561489723729816,0.6640226446731878,DHX36KO,hybrid
66,1291.1392405063293,8.680198548764803,0.6694998246903612,DHX36KO,hybrid
67,1341.7721518987341,8.732842669410598,0.6485190836397188,DHX36KO,hybrid
68,1392.4050632911394,8.60172240451911,0.6211691692834027,DHX36KO,hybrid
69,1443.0379746835442,8.477313653229595,0.5989180001176048,DHX36KO,hybrid
70,1493.6708860759495,8.394208653850733,0.5959352881693564,DHX36KO,hybrid
71,1544.3037974683543,8.291893814918202,0.5925198064115583,DHX36KO,hybrid
72,1594.9367088607596,8.18761943613494,0.5808594552478034,DHX36KO,hybrid
73,1645.5696202531644,7.95815787164563,0.5344328630774283,DHX36KO,hybrid
74,1696.2025316455697,7.867597495212138,0.5087190598727801,DHX36KO,hybrid
75,1746.8354430379745,7.760385049374812,0.4795378515605074,DHX36KO,hybrid
76,1797.4683544303798,7.846307512824141,0.48403605082197915,DHX36KO,hybrid
77,1848.1012658227846,7.8297078001267115,0.49267987856272033,DHX36KO,hybrid
78,1898.73417721519,7.84124969001229,0.49869761766590787,DHX36KO,hybrid
79,1949.3670886075947,7.846806667402998,0.5180123920268663,DHX36KO,hybrid
80,2000,7.8355577482039,0.5105797647709273,DHX36KO,hybrid
1,-2000,1.6458330294971992,0.01529932707498456,DHX36KO,none
2,-1949.367088607595,1.6290632212780674,0.015047438886772423,DHX36KO,none
3,-1898.73417721519,1.6190305709377877,0.014832230400897022,DHX36KO,none
4,-1848.1012658227849,1.6122071846909367,0.014800034996833977,DHX36KO,none
5,-1797.4683544303798,1.6044299284681132,0.014793833815587009,DHX36KO,none
6,-1746.8354430379748,1.5980649429600657,0.014786935725346723,DHX36KO,none
7,-1696.2025316455697,1.592764356128372,0.014822961778386516,DHX36KO,none
8,-1645.5696202531644,1.5912977917290139,0.01478106971505073,DHX36KO,none
9,-1594.9367088607596,1.5928753854643916,0.014722044417055595,DHX36KO,none
10,-1544.3037974683543,1.58902594163544,0.014646406381080048,DHX36KO,none
11,-1493.6708860759495,1.5837592923995751,0.01463425428913267,DHX36KO,none
12,-1443.0379746835442,1.587435977832495,0.014660845377250736,DHX36KO,none
13,-1392.4050632911392,1.5890956415600246,0.014713661403738358,DHX36KO,none
14,-1341.7721518987341,1.5720700065266089,0.014595831662056347,DHX36KO,none
15,-1291.139240506329,1.5682626046958326,0.01445448790347147,DHX36KO,none
16,-1240.506329113924,1.5669287109779968,0.014347389195997717,DHX36KO,none
17,-1189.873417721519,1.5695223175967394,0.014361620106179723,DHX36KO,none
18,-1139.240506329114,1.5833332857333855,0.014497689315329234,DHX36KO,none
19,-1088.607594936709,1.5969761405842169,0.014787731134235076,DHX36KO,none
20,-1037.9746835443038,1.6017378146922387,0.01489241616363279,DHX36KO,none
21,-987.3417721518988,1.6018192925067427,0.01483289284250487,DHX36KO,none
22,-936.7088607594937,1.5990784000322245,0.014756761198160537,DHX36KO,none
23,-886.0759493670887,1.5933632053070266,0.014683711531221735,DHX36KO,none
24,-835.4430379746836,1.5842887951861668,0.014640003522242042,DHX36KO,none
25,-784.8101265822784,1.5774647619298765,0.01465545946930351,DHX36KO,none
