entrez,n_g4,bucket,symbol,baseMean
30931,0,0,Tor1a,71.37964059819107
30932,0,0,Zfp330,1326.95289737539
30933,0,0,Tor2a,283.95701338620745
30934,6,4+,Tor1b,141.6096478765446
30935,5,4+,Tor3a,95.6381578055136
30936,12,4+,Slc46a2,NA
30937,0,0,Lmcd1,1.205725578665603
30938,0,0,Fgd3,7.896204898476014
30939,0,0,Pttg1,1277.4553105318926
30940,0,0,Usp25,111.62417740723042
30941,6,4+,Usp21,655.1761918971497
30942,0,0,Hnf4g,NA
30943,7,4+,Prss30,NA
30944,0,0,Zfp354c,28.58328710798027
30945,24,4+,Rnf19a,112.58249047479175
30946,0,0,Abt1,145.16658399656407
30947,0,0,Adat1,121.21693522056248
30948,0,0,Bin1,220.4232911964236
30949,0,0,Lcmt1,265.87607863499824
30951,0,0,Cbx8,6.768642892979254
30952,0,0,Cngb3,NA
30953,0,0,Schip1,298.7081889933011
30954,22,4+,Siva1,452.3275771620792
30955,0,0,Pik3cg,NA
30956,10,4+,Aass,274.6839308644386
30957,8,4+,Mapk8ip3,24.15924316174516
30959,0,0,Ddx25,30.300340517122976
30960,0,0,Vapa,2029.1071704236228
30962,8,4+,Slc7a9,4.112547076016613
30963,0,0,Hacd1,289.8051472287598
317652,0,0,Klk15,NA
317653,0,0,Klk14,NA
317677,8,4+,C1s2,NA
317717,14,4+,Sec22a,133.0507408468251
317750,0,0,Slc24a5,224.4028422848773
317755,0,0,Zar1,NA
